id,eg
e1,Exp
e2,Con
e3,Con
e4,Exp
e5,Exp
e7,Exp
e8,Con
e9,Exp
e10,Con
e13,Con
e14,Exp
e15,Exp
e16,Con
e17,Con
e18,Exp
e19,Exp
e20,Exp
e21,Exp
e22,Con
e27,Con
e28,Con
e29,Con
e30,Con
e31,Con
e32,Con
e33,Con
e34,Exp
e35,Exp
e36,Exp
e37,Exp
e38,Con
e40,Con
e41,Exp
e42,Exp
e43,Con
e44,Con
e45,Exp
e46,Con
e47,Exp
e49,Con
e51,Con
e52,Exp
e53,Exp
e54,Con
e55,Exp
e56,Exp
e57,Exp
e58,Exp
e60,Exp
e61,Exp
e62,Con
e63,Con
e64,Con
e65,Exp
e66,Con
e67,Exp
e68,Con
e69,Con
e70,Exp
e71,Exp
e72,Exp
e73,Con
e74,Con
e75,Con
e76,Exp
e77,Con
e78,Con
e79,Exp
e80,Exp
e81,Exp
e82,Con
e84,Exp
e85,Exp
e86,Exp
e88,Con
e89,Exp
e90,Exp
e92,Con
e93,Con
e94,Exp
e95,Con
e96,Con
e97,Exp
e98,Con
e99,Con
e100,Con
