"";"";"";"pvals"
"1";1;2;0,00208097997264181
"2";1;3;3,44158210679334e-05
"3";1;4;1
"4";1;5;1
"5";1;6;1
"6";1;7;1
"7";1;8;1
"8";1;9;1
"9";1;10;1
"10";1;11;1
"11";1;12;1
"12";1;13;1
"13";1;14;1
"14";1;15;1
"15";1;16;1
"16";1;17;1
"17";1;18;1
"18";1;19;1
"19";1;20;1
"20";1;21;1
"21";1;22;1
"22";1;23;1
"23";1;24;1
"24";1;25;1
"25";1;26;1
"26";1;27;1
"27";2;3;1
"28";2;4;1
"29";2;5;1
"30";2;6;1
"31";2;7;1
"32";2;8;1
"33";2;9;1
"34";2;10;1
"35";2;11;1
"36";2;12;1
"37";2;13;1
"38";2;14;1
"39";2;15;1
"40";2;16;1
"41";2;17;1
"42";2;18;1
"43";2;19;1
"44";2;20;1
"45";2;21;1
"46";2;22;1
"47";2;23;1
"48";2;24;1
"49";2;25;1
"50";2;26;1
"51";2;27;1
"52";3;4;1
"53";3;5;1
"54";3;6;1
"55";3;7;1
"56";3;8;1
"57";3;9;1
"58";3;10;1
"59";3;11;1
"60";3;12;1
"61";3;13;1
"62";3;14;1
"63";3;15;1
"64";3;16;1
"65";3;17;1
"66";3;18;1
"67";3;19;1
"68";3;20;1
"69";3;21;1
"70";3;22;1
"71";3;23;1
"72";3;24;1
"73";3;25;1
"74";3;26;1
"75";3;27;1
"76";4;5;1
"77";4;6;1
"78";4;7;1
"79";4;8;1
"80";4;9;1
"81";4;10;1
"82";4;11;1
"83";4;12;1
"84";4;13;1
"85";4;14;1
"86";4;15;1
"87";4;16;1
"88";4;17;1
"89";4;18;1
"90";4;19;1
"91";4;20;2,26478572847455e-16
"92";4;21;5,46034692117989e-12
"93";4;22;2,87973525071042e-09
"94";4;23;0,000794728824816692
"95";4;24;2,9884252755406e-08
"96";4;25;0,00145024773231862
"97";4;26;1
"98";4;27;1
"99";5;6;3,6769208409892e-09
"100";5;7;1
"101";5;8;1
"102";5;9;1
"103";5;10;1
"104";5;11;0,137138613192964
"105";5;12;1
"106";5;13;1
"107";5;14;1
"108";5;15;1
"109";5;16;1
"110";5;17;1
"111";5;18;1
"112";5;19;1
"113";5;20;1
"114";5;21;1
"115";5;22;1
"116";5;23;1
"117";5;24;1
"118";5;25;1
"119";5;26;1
"120";5;27;1
"121";6;7;0,000104375162587119
"122";6;8;0,00475336273829999
"123";6;9;1
"124";6;10;0,00817885221654253
"125";6;11;0,000247916204097334
"126";6;12;1
