"";"amp.su";"amp.sw";"tr50.su";"add";"tt";"rs";"ni";"vp";"ju";"em";"fo";"ll";"pref";"abur";"evitar";"aban";"satisf";"acep";"asol";"sas";"lc";"cd";"ic";"wd";"to";"aaq";"soc.apps"
"amp.su";1;0,47;0,54;0;0,08;0,04;0,08;0,07;0,06;-0,03;0,09;0,07;0,12;-0,09;0,02;-0,11;0,15;-0,23;-0,13;-0,06;-0,16;-0,01;-0,05;0,01;-0,06;-0,19;-0,05
"amp.sw";0,47;1;-0,07;0,13;0,06;0,12;0,23;0,13;0,08;0,11;0,15;-0,1;0,09;-0,15;0,02;-0,02;0,14;-0,16;0;0,02;-0,04;0,02;0,05;0,15;-0,15;-0,09;0,06
"tr50.su";0,54;-0,07;1;-0,07;-0,05;-0,04;0,04;0;-0,04;0,03;0,04;-0,01;-0,05;-0,19;0,07;-0,03;0,11;-0,2;-0,04;-0,11;-0,16;-0,03;-0,17;-0,03;-0,05;-0,14;-0,18
"add";0;0,13;-0,07;1;0,31;0,26;0,15;0,12;-0,07;-0,05;0,17;-0,12;0,02;0,24;0,13;-0,01;0,02;0,11;0,17;0,78;0,71;0,65;0,48;0,63;0,47;0,13;0,11
"tt";0,08;0,06;-0,05;0,31;1;0,65;0,1;0,19;-0,01;0,04;0,37;0,11;0,02;0,24;0,11;0,01;-0,08;-0,06;0,06;0,27;0,25;0,26;0,09;0,27;0,14;0,18;0,07
"rs";0,04;0,12;-0,04;0,26;0,65;1;0,52;0,45;0,2;0,44;0,5;0,13;-0,09;0,2;0,1;0,29;-0,03;-0,08;0,01;0,27;0,27;0,19;0,23;0,23;0,11;0,19;0,03
"ni";0,08;0,23;0,04;0,15;0,1;0,52;1;0,8;0,46;0,52;0,35;0,13;-0,04;0,13;0,19;0,29;0,04;0,03;0,08;0,16;0,23;0,03;0,17;0,24;-0,09;0,15;0,03
"vp";0,07;0,13;0;0,12;0,19;0,45;0,8;1;0,34;0,38;0,33;0,23;-0,04;0,04;0,03;0,22;0,13;0,04;-0,06;0,11;0,15;0,04;0,04;0,25;-0,11;0,05;0
"ju";0,06;0,08;-0,04;-0,07;-0,01;0,2;0,46;0,34;1;0,23;0,16;0,04;0,14;0,04;0,13;0,15;-0,05;-0,13;-0,03;-0,09;-0,19;-0,17;0,2;0,02;-0,18;0,06;0,01
"em";-0,03;0,11;0,03;-0,05;0,04;0,44;0,52;0,38;0,23;1;0,31;0,05;-0,11;0,13;0,18;0,31;0,14;-0,12;-0,05;0,06;0,07;0,02;0,04;0,06;0,02;0,07;-0,03
"fo";0,09;0,15;0,04;0,17;0,37;0,5;0,35;0,33;0,16;0,31;1;0,3;0,06;0,17;0,17;0,02;0,16;-0,18;0,01;0,09;0,05;0,07;0,08;0,05;0,11;-0,02;0,13
"ll";0,07;-0,1;-0,01;-0,12;0,11;0,13;0,13;0,23;0,04;0,05;0,3;1;0,05;-0,02;-0,06;-0,03;0,11;-0,12;-0,1;-0,04;-0,07;-0,05;0,05;-0,08;0,01;0,16;-0,05
"pref";0,12;0,09;-0,05;0,02;0,02;-0,09;-0,04;-0,04;0,14;-0,11;0,06;0,05;1;0,07;0,09;-0,04;-0,16;0,08;0,17;-0,01;-0,01;0;0,16;-0,08;-0,08;0,22;0,08
